token,ner_tag,raw_tags,id
"י""ח",,B-CHP,1000011
עמוד,,B-pSCHP,1000011
א',,B-SCHP,1000011
),,O,1000011
דכ,,O,1000011
##ת,,O,1000011
##בו,,O,1000011
ואנ,,O,1000011
##חיה,,O,1000011
בכיס,,O,1000011
##תי,,O,1000011
##ה,,O,1000011
דאי,,O,1000011
מפי,,O,1000011
##יסה,,O,1000011
תפ,,O,1000011
##ייס,,O,1000011
[SEP],10.0,O,1000011
,10.0,O,1000011
[CLS],10.0,O,1000012
וכן,,O,1000012
מפורש,,O,1000012
ב,,O,1000012
"##רמב""ן",,B-BOK,1000012
על,,I-BOK,1000012
התורה,,I-BOK,1000012
פרק,,B-pSEC,1000012
קדושים,,I-pSEC,1000012
בפסוק,,O,1000012
אל,,O,1000012
תחל,,O,1000012
##ל,,O,1000012
דבריי,,O,1000012
##תא,,O,1000012
דס,,O,1000012
##נהדרין,,O,1000012
אל,,O,1000012
תחל,,O,1000012
##ל,,O,1000012
במוסר,,O,1000012
בתו,,O,1000012
פנויה,,O,1000012
שלא,,O,1000012
לשם,,O,1000012
אישות,,O,1000012
הכתוב,,O,1000012
מדבר,,O,1000012
[SEP],10.0,O,1000012
,10.0,O,1000012
[CLS],10.0,O,1000013
וכן,,O,1000013
מפורש,,O,1000013
ב,,O,1000013
"##רמב""ן",,B-BOK,1000013
על,,I-BOK,1000013
התורה,,I-BOK,1000013
(,,B-pSEC,1000013
קדושים,,I-pSEC,1000013
בפסוק,,O,1000013
אל,,O,1000013
תחל,,O,1000013
##ל,,O,1000013
דבריי,,O,1000013
##תא,,O,1000013
דס,,O,1000013
##נהדרין,,O,1000013
אל,,O,1000013
תחל,,O,1000013
##ל,,O,1000013
במוסר,,O,1000013
בתו,,O,1000013
פנויה,,O,1000013
שלא,,O,1000013
לשם,,O,1000013
אישות,,O,1000013
הכתוב,,O,1000013
מדבר,,O,1000013
[SEP],10.0,O,1000013
,10.0,O,1000013
[CLS],10.0,O,1000014
וכן,,O,1000014
מפורש,,O,1000014
ב,,O,1000014
"##רמב""ן",,B-BOK,1000014
על,,I-BOK,1000014
התורה,,I-BOK,1000014
מהלכות,,B-pSEC,1000014
קדושים,,I-pSEC,1000014
בפסוק,,O,1000014
אל,,O,1000014
תחל,,O,1000014
##ל,,O,1000014
דבריי,,O,1000014
##תא,,O,1000014
דס,,O,1000014
##נהדרין,,O,1000014
אל,,O,1000014
תחל,,O,1000014
##ל,,O,1000014
במוסר,,O,1000014
בתו,,O,1000014
פנויה,,O,1000014
שלא,,O,1000014
לשם,,O,1000014
אישות,,O,1000014
הכתוב,,O,1000014
מדבר,,O,1000014
[SEP],10.0,O,1000014
,10.0,O,1000014
[CLS],10.0,O,1000015
וכן,,O,1000015
מפורש,,O,1000015
ב,,O,1000015
"##רמב""ן",,B-BOK,1000015
על,,I-BOK,1000015
התורה,,I-BOK,1000015
חלק,,B-pSEC,1000015
קדושים,,I-pSEC,1000015
בפסוק,,O,1000015
אל,,O,1000015
תחל,,O,1000015
##ל,,O,1000015
דבריי,,O,1000015
##תא,,O,1000015
דס,,O,1000015
##נהדרין,,O,1000015
אל,,O,1000015
תחל,,O,1000015
##ל,,O,1000015
במוסר,,O,1000015
בתו,,O,1000015
פנויה,,O,1000015
שלא,,O,1000015
לשם,,O,1000015
אישות,,O,1000015
הכתוב,,O,1000015
מדבר,,O,1000015
[SEP],10.0,O,1000015
,10.0,O,1000015
[CLS],10.0,O,1000016
וכן,,O,1000016
מפורש,,O,1000016
ב,,O,1000016
"##רמב""ן",,B-BOK,1000016
על,,I-BOK,1000016
התורה,,I-BOK,1000016
סימן,,B-pSEC,1000016
קדושים,,I-pSEC,1000016
בפסוק,,O,1000016
אל,,O,1000016
תחל,,O,1000016
##ל,,O,1000016
דבריי,,O,1000016
##תא,,O,1000016
דס,,O,1000016
##נהדרין,,O,1000016
אל,,O,1000016
תחל,,O,1000016
##ל,,O,1000016
במוסר,,O,1000016
בתו,,O,1000016
פנויה,,O,1000016
שלא,,O,1000016
לשם,,O,1000016
אישות,,O,1000016
הכתוב,,O,1000016
מדבר,,O,1000016
[SEP],10.0,O,1000016
,10.0,O,1000016
[CLS],10.0,O,1000017
וכן,,O,1000017
מפורש,,O,1000017
ב,,O,1000017
"##רמב""ן",,B-BOK,1000017
על,,I-BOK,1000017
התורה,,I-BOK,1000017
דיני,,B-pSEC,1000017
קדושים,,I-pSEC,1000017
בפסוק,,O,1000017
אל,,O,1000017
תחל,,O,1000017
##ל,,O,1000017
דבריי,,O,1000017
##תא,,O,1000017
דס,,O,1000017
##נהדרין,,O,1000017
אל,,O,1000017
תחל,,O,1000017
##ל,,O,1000017
במוסר,,O,1000017
בתו,,O,1000017
פנויה,,O,1000017
שלא,,O,1000017
לשם,,O,1000017
אישות,,O,1000017
הכתוב,,O,1000017
מדבר,,O,1000017
[SEP],10.0,O,1000017
,10.0,O,1000017
[CLS],10.0,O,1000018
אך,,O,1000018
נראה,,O,1000018
לפשוט,,O,1000018
ספק,,O,1000018
זה,,O,1000018
מהא,,O,1000018
דת,,O,1000018
##נן,,O,1000018
בסו,,B-BOK,1000018
##טה,,I-BOK,1000018
(,,B-pSEC,1000018
מי,,B-SEC,1000018
שקי,,I-SEC,1000018
##נא,,I-SEC,1000018
חמש,,O,1000018
נשים,,O,1000018
שאין,,O,1000018
נאמנות,,O,1000018
עליה,,O,1000018
לומר,,O,1000018
מת,,O,1000018
בעלה,,O,1000018
נאמנת,,O,1000018
עליה,,O,1000018
[SEP],10.0,O,1000018
,10.0,O,1000018
[CLS],10.0,O,1000019
אך,,O,1000019
נראה,,O,1000019
לפשוט,,O,1000019
ספק,,O,1000019
זה,,O,1000019
מהא,,O,1000019
דת,,O,1000019
##נן,,O,1000019
בסו,,B-BOK,1000019
##טה,,I-BOK,1000019
פרק,,B-pSEC,1000019
מי,,B-SEC,1000019
שקי,,I-SEC,1000019
##נא,,I-SEC,1000019
חמש,,O,1000019
נשים,,O,1000019
שאין,,O,1000019
נאמנות,,O,1000019
עליה,,O,1000019
לומר,,O,1000019
מת,,O,1000019
בעלה,,O,1000019
נאמנת,,O,1000019
עליה,,O,1000019
[SEP],10.0,O,1000019
,10.0,O,1000019
[CLS],10.0,O,1000020
אך,,O,1000020
נראה,,O,1000020
לפשוט,,O,1000020
ספק,,O,1000020
זה,,O,1000020
מהא,,O,1000020
דת,,O,1000020
##נן,,O,1000020
בסו,,B-BOK,1000020
##טה,,I-BOK,1000020
דיני,,B-pSEC,1000020
מי,,B-SEC,1000020
שקי,,I-SEC,1000020
##נא,,I-SEC,1000020
חמש,,O,1000020
נשים,,O,1000020
שאין,,O,1000020
נאמנות,,O,1000020
עליה,,O,1000020
לומר,,O,1000020
מת,,O,1000020
בעלה,,O,1000020
נאמנת,,O,1000020
עליה,,O,1000020
[SEP],10.0,O,1000020
,10.0,O,1000020
[CLS],10.0,O,1000021
אך,,O,1000021
נראה,,O,1000021
לפשוט,,O,1000021
ספק,,O,1000021
זה,,O,1000021
מהא,,O,1000021
דת,,O,1000021
##נן,,O,1000021
בסו,,B-BOK,1000021
##טה,,I-BOK,1000021
סימן,,B-pSEC,1000021
מי,,B-SEC,1000021
שקי,,I-SEC,1000021
##נא,,I-SEC,1000021
חמש,,O,1000021
נשים,,O,1000021
שאין,,O,1000021
נאמנות,,O,1000021
עליה,,O,1000021
לומר,,O,1000021
מת,,O,1000021
בעלה,,O,1000021
נאמנת,,O,1000021
עליה,,O,1000021
[SEP],10.0,O,1000021
,10.0,O,1000021
[CLS],10.0,O,1000022
אך,,O,1000022
נראה,,O,1000022
לפשוט,,O,1000022
ספק,,O,1000022
זה,,O,1000022
מהא,,O,1000022
דת,,O,1000022
##נן,,O,1000022
בסו,,B-BOK,1000022
##טה,,I-BOK,1000022
חלק,,B-pSEC,1000022
מי,,B-SEC,1000022
שקי,,I-SEC,1000022
##נא,,I-SEC,1000022
חמש,,O,1000022
נשים,,O,1000022
שאין,,O,1000022
נאמנות,,O,1000022
עליה,,O,1000022
לומר,,O,1000022
מת,,O,1000022
בעלה,,O,1000022
נאמנת,,O,1000022
עליה,,O,1000022
[SEP],10.0,O,1000022
,10.0,O,1000022
[CLS],10.0,O,1000023
אך,,O,1000023
נראה,,O,1000023
לפשוט,,O,1000023
ספק,,O,1000023
זה,,O,1000023
מהא,,O,1000023
דת,,O,1000023
##נן,,O,1000023
בסו,,B-BOK,1000023
##טה,,I-BOK,1000023
מהלכות,,B-pSEC,1000023
מי,,B-SEC,1000023
שקי,,I-SEC,1000023
##נא,,I-SEC,1000023
חמש,,O,1000023
נשים,,O,1000023
שאין,,O,1000023
נאמנות,,O,1000023
עליה,,O,1000023
לומר,,O,1000023
מת,,O,1000023
בעלה,,O,1000023
נאמנת,,O,1000023
עליה,,O,1000023
[SEP],10.0,O,1000023
,10.0,O,1000023
[CLS],10.0,O,1000024
וזה,,O,1000024
תמוה,,O,1000024
(,,O,1000024
כמו,,O,1000024
שכתב,,O,1000024
שם,,O,1000024
מוקף,,O,1000024
),,O,1000024
שהרי,,O,1000024
"הרמב""ם",,B-AUT,1000024
סוף,,O,1000024
פרק,,B-pCHP,1000024
"כ""ד",,B-CHP,1000024
מהלכות,,B-pSEC,1000024
אישות,,B-SEC,1000024
דאמר,,O,1000024
לה,,O,1000024
בינו,,O,1000024
לבינה,,O,1000024
גאס,,O,1000024
##רת,,O,1000024
בזמן,,O,1000024
הזה,,O,1000024
[SEP],10.0,O,1000024
,10.0,O,1000024
[CLS],10.0,O,1000025
וזה,,O,1000025
תמוה,,O,1000025
(,,O,1000025
כמו,,O,1000025
שכתב,,O,1000025
שם,,O,1000025
מוקף,,O,1000025
),,O,1000025
שהרי,,O,1000025
"הרמב""ם",,B-AUT,1000025
סוף,,O,1000025
פרק,,B-pCHP,1000025
"כ""ד",,B-CHP,1000025
דיני,,B-pSEC,1000025
אישות,,B-SEC,1000025
דאמר,,O,1000025
לה,,O,1000025
בינו,,O,1000025
לבינה,,O,1000025
גאס,,O,1000025
##רת,,O,1000025
בזמן,,O,1000025
הזה,,O,1000025
[SEP],10.0,O,1000025
,10.0,O,1000025
[CLS],10.0,O,1000026
וזה,,O,1000026
תמוה,,O,1000026
(,,O,1000026
כמו,,O,1000026
שכתב,,O,1000026
שם,,O,1000026
מוקף,,O,1000026
),,O,1000026
שהרי,,O,1000026
"הרמב""ם",,B-AUT,1000026
סוף,,O,1000026
פרק,,B-pCHP,1000026
"כ""ד",,B-CHP,1000026
פרק,,B-pSEC,1000026
אישות,,B-SEC,1000026
דאמר,,O,1000026
לה,,O,1000026
בינו,,O,1000026
לבינה,,O,1000026
גאס,,O,1000026
##רת,,O,1000026
בזמן,,O,1000026
הזה,,O,1000026
[SEP],10.0,O,1000026
,10.0,O,1000026
[CLS],10.0,O,1000027
וזה,,O,1000027
תמוה,,O,1000027
(,,O,1000027
כמו,,O,1000027
שכתב,,O,1000027
שם,,O,1000027
מוקף,,O,1000027
),,O,1000027
שהרי,,O,1000027
"הרמב""ם",,B-AUT,1000027
סוף,,O,1000027
פרק,,B-pCHP,1000027
"כ""ד",,B-CHP,1000027
(,,B-pSEC,1000027
אישות,,B-SEC,1000027
דאמר,,O,1000027
לה,,O,1000027
בינו,,O,1000027
לבינה,,O,1000027
גאס,,O,1000027
##רת,,O,1000027
בזמן,,O,1000027
הזה,,O,1000027
[SEP],10.0,O,1000027
,10.0,O,1000027
[CLS],10.0,O,1000028
וזה,,O,1000028
תמוה,,O,1000028
(,,O,1000028
כמו,,O,1000028
שכתב,,O,1000028
שם,,O,1000028
מוקף,,O,1000028
),,O,1000028
שהרי,,O,1000028
"הרמב""ם",,B-AUT,1000028
סוף,,O,1000028
פרק,,B-pCHP,1000028
"כ""ד",,B-CHP,1000028
סימן,,B-pSEC,1000028
אישות,,B-SEC,1000028
דאמר,,O,1000028
לה,,O,1000028
בינו,,O,1000028
לבינה,,O,1000028
גאס,,O,1000028
##רת,,O,1000028
בזמן,,O,1000028
הזה,,O,1000028
[SEP],10.0,O,1000028
,10.0,O,1000028
[CLS],10.0,O,1000029
וזה,,O,1000029
תמוה,,O,1000029
(,,O,1000029
כמו,,O,1000029
שכתב,,O,1000029
שם,,O,1000029
מוקף,,O,1000029
),,O,1000029
שהרי,,O,1000029
"הרמב""ם",,B-AUT,1000029
סוף,,O,1000029
פרק,,B-pCHP,1000029
"כ""ד",,B-CHP,1000029
חלק,,B-pSEC,1000029
אישות,,B-SEC,1000029
דאמר,,O,1000029
לה,,O,1000029
בינו,,O,1000029
לבינה,,O,1000029
גאס,,O,1000029
##רת,,O,1000029
בזמן,,O,1000029
הזה,,O,1000029
[SEP],10.0,O,1000029
,10.0,O,1000029
[CLS],10.0,O,1000030
והיינו,,O,1000030
שדי,,O,1000030
##נם,,O,1000030
כנ,,O,1000030
##כרי,,O,1000030
ועבד,,O,1000030
ואין,,O,1000030
מטמא,,O,1000030
##ין,,O,1000030
בנדה,,O,1000030
+,,O,1000030
הגה,,O,1000030
"##""ה",,O,1000030
עיין,,O,1000030
"רמב""ם",,B-AUT,1000030
פרק,,B-pCHP,1000030
ד',,I-pCHP,1000030
מהלכות,,B-pSEC,1000030
איסורי,,B-SEC,1000030
ביאה,,I-SEC,1000030
דה,,O,1000030
##בא,,O,1000030
על,,O,1000030
שפ,,O,1000030
##חת,,O,1000030
נדה,,O,1000030
בכר,,O,1000030
##ת,,O,1000030
[SEP],10.0,O,1000030
,10.0,O,1000030
[CLS],10.0,O,1000031
והיינו,,O,1000031
שדי,,O,1000031
##נם,,O,1000031
כנ,,O,1000031
##כרי,,O,1000031
ועבד,,O,1000031
ואין,,O,1000031
מטמא,,O,1000031
##ין,,O,1000031
בנדה,,O,1000031
+,,O,1000031
הגה,,O,1000031
"##""ה",,O,1000031
עיין,,O,1000031
"רמב""ם",,B-AUT,1000031
פרק,,B-pCHP,1000031
ד',,I-pCHP,1000031
דיני,,B-pSEC,1000031
איסורי,,B-SEC,1000031
ביאה,,I-SEC,1000031
דה,,O,1000031
##בא,,O,1000031
על,,O,1000031
שפ,,O,1000031
##חת,,O,1000031
נדה,,O,1000031
בכר,,O,1000031
##ת,,O,1000031
[SEP],10.0,O,1000031
,10.0,O,1000031
[CLS],10.0,O,1000032
והיינו,,O,1000032
שדי,,O,1000032
##נם,,O,1000032
כנ,,O,1000032
##כרי,,O,1000032
ועבד,,O,1000032
ואין,,O,1000032
מטמא,,O,1000032
##ין,,O,1000032
בנדה,,O,1000032
+,,O,1000032
הגה,,O,1000032
"##""ה",,O,1000032
עיין,,O,1000032
"רמב""ם",,B-AUT,1000032
פרק,,B-pCHP,1000032
ד',,I-pCHP,1000032
פרק,,B-pSEC,1000032
איסורי,,B-SEC,1000032
ביאה,,I-SEC,1000032
דה,,O,1000032
##בא,,O,1000032
על,,O,1000032
שפ,,O,1000032
##חת,,O,1000032
נדה,,O,1000032
בכר,,O,1000032
##ת,,O,1000032
[SEP],10.0,O,1000032
,10.0,O,1000032
[CLS],10.0,O,1000033
והיינו,,O,1000033
שדי,,O,1000033
##נם,,O,1000033
כנ,,O,1000033
##כרי,,O,1000033
ועבד,,O,1000033
ואין,,O,1000033
מטמא,,O,1000033
##ין,,O,1000033
בנדה,,O,1000033
+,,O,1000033
הגה,,O,1000033
"##""ה",,O,1000033
עיין,,O,1000033
"רמב""ם",,B-AUT,1000033
פרק,,B-pCHP,1000033
ד',,I-pCHP,1000033
(,,B-pSEC,1000033
איסורי,,B-SEC,1000033
ביאה,,I-SEC,1000033
דה,,O,1000033
##בא,,O,1000033
על,,O,1000033
שפ,,O,1000033
##חת,,O,1000033
נדה,,O,1000033
בכר,,O,1000033
##ת,,O,1000033
[SEP],10.0,O,1000033
,10.0,O,1000033
[CLS],10.0,O,1000034
והיינו,,O,1000034
שדי,,O,1000034
##נם,,O,1000034
כנ,,O,1000034
##כרי,,O,1000034
ועבד,,O,1000034
ואין,,O,1000034
מטמא,,O,1000034
##ין,,O,1000034
בנדה,,O,1000034
+,,O,1000034
הגה,,O,1000034
"##""ה",,O,1000034
עיין,,O,1000034
"רמב""ם",,B-AUT,1000034
פרק,,B-pCHP,1000034
ד',,I-pCHP,1000034
חלק,,B-pSEC,1000034
איסורי,,B-SEC,1000034
ביאה,,I-SEC,1000034
דה,,O,1000034
##בא,,O,1000034
על,,O,1000034
שפ,,O,1000034
##חת,,O,1000034
נדה,,O,1000034
בכר,,O,1000034
##ת,,O,1000034
[SEP],10.0,O,1000034
,10.0,O,1000034
[CLS],10.0,O,1000035
והיינו,,O,1000035
שדי,,O,1000035
##נם,,O,1000035
כנ,,O,1000035
##כרי,,O,1000035
ועבד,,O,1000035
ואין,,O,1000035
מטמא,,O,1000035
##ין,,O,1000035
בנדה,,O,1000035
+,,O,1000035
הגה,,O,1000035
"##""ה",,O,1000035
עיין,,O,1000035
"רמב""ם",,B-AUT,1000035
פרק,,B-pCHP,1000035
ד',,I-pCHP,1000035
סימן,,B-pSEC,1000035
איסורי,,B-SEC,1000035
ביאה,,I-SEC,1000035
דה,,O,1000035
##בא,,O,1000035
על,,O,1000035
שפ,,O,1000035
##חת,,O,1000035
נדה,,O,1000035
בכר,,O,1000035
##ת,,O,1000035
[SEP],10.0,O,1000035
,10.0,O,1000035
[CLS],10.0,O,1000036
ז,,O,1000036
),,O,1000036
אך,,O,1000036
צריך,,O,1000036
עיון,,O,1000036
"ברמב""ם",,B-AUT,1000036
פרק,,B-pCHP,1000036
"ט""ז",,B-CHP,1000036
מהלכות,,B-pSEC,1000036
איסורי,,B-SEC,1000036
ביאה,,I-SEC,1000036
היינו,,O,1000036
טעמא,,O,1000036
דכ,,O,1000036
##ת,,O,1000036
##ב,,O,1000036
כרתו,,O,1000036
כלב,,O,1000036
פסול,,O,1000036
והא,,O,1000036
לא,,O,1000036
נעשה,,O,1000036
בו,,O,1000036
איסור,,O,1000036
[SEP],10.0,O,1000036
,10.0,O,1000036
[CLS],10.0,O,1000037
ז,,O,1000037
),,O,1000037
אך,,O,1000037
צריך,,O,1000037
עיון,,O,1000037
"ברמב""ם",,B-AUT,1000037
פרק,,B-pCHP,1000037
"ט""ז",,B-CHP,1000037
דיני,,B-pSEC,1000037
איסורי,,B-SEC,1000037
ביאה,,I-SEC,1000037
היינו,,O,1000037
טעמא,,O,1000037
דכ,,O,1000037
##ת,,O,1000037
##ב,,O,1000037
כרתו,,O,1000037
כלב,,O,1000037
פסול,,O,1000037
והא,,O,1000037
לא,,O,1000037
נעשה,,O,1000037
בו,,O,1000037
איסור,,O,1000037
[SEP],10.0,O,1000037
,10.0,O,1000037
[CLS],10.0,O,1000038
ז,,O,1000038
),,O,1000038
אך,,O,1000038
צריך,,O,1000038
עיון,,O,1000038
"ברמב""ם",,B-AUT,1000038
פרק,,B-pCHP,1000038
"ט""ז",,B-CHP,1000038
פרק,,B-pSEC,1000038
איסורי,,B-SEC,1000038
ביאה,,I-SEC,1000038
היינו,,O,1000038
טעמא,,O,1000038
דכ,,O,1000038
##ת,,O,1000038
##ב,,O,1000038
כרתו,,O,1000038
כלב,,O,1000038
פסול,,O,1000038
והא,,O,1000038
לא,,O,1000038
נעשה,,O,1000038
בו,,O,1000038
איסור,,O,1000038
[SEP],10.0,O,1000038
,10.0,O,1000038
[CLS],10.0,O,1000039
ז,,O,1000039
),,O,1000039
אך,,O,1000039
צריך,,O,1000039
עיון,,O,1000039
"ברמב""ם",,B-AUT,1000039
פרק,,B-pCHP,1000039
"ט""ז",,B-CHP,1000039
חלק,,B-pSEC,1000039
איסורי,,B-SEC,1000039
ביאה,,I-SEC,1000039
היינו,,O,1000039
טעמא,,O,1000039
דכ,,O,1000039
##ת,,O,1000039
##ב,,O,1000039
כרתו,,O,1000039
כלב,,O,1000039
פסול,,O,1000039
והא,,O,1000039
לא,,O,1000039
נעשה,,O,1000039
בו,,O,1000039
איסור,,O,1000039
[SEP],10.0,O,1000039
,10.0,O,1000039
[CLS],10.0,O,1000040
ז,,O,1000040
),,O,1000040
אך,,O,1000040
צריך,,O,1000040
עיון,,O,1000040
"ברמב""ם",,B-AUT,1000040
פרק,,B-pCHP,1000040
"ט""ז",,B-CHP,1000040
(,,B-pSEC,1000040
איסורי,,B-SEC,1000040
ביאה,,I-SEC,1000040
היינו,,O,1000040
טעמא,,O,1000040
דכ,,O,1000040
##ת,,O,1000040
##ב,,O,1000040
כרתו,,O,1000040
כלב,,O,1000040
פסול,,O,1000040
והא,,O,1000040
לא,,O,1000040
נעשה,,O,1000040
בו,,O,1000040
איסור,,O,1000040
[SEP],10.0,O,1000040
,10.0,O,1000040
[CLS],10.0,O,1000041
ז,,O,1000041
),,O,1000041
אך,,O,1000041
צריך,,O,1000041
עיון,,O,1000041
"ברמב""ם",,B-AUT,1000041
פרק,,B-pCHP,1000041
"ט""ז",,B-CHP,1000041
סימן,,B-pSEC,1000041
איסורי,,B-SEC,1000041
ביאה,,I-SEC,1000041
היינו,,O,1000041
טעמא,,O,1000041
דכ,,O,1000041
##ת,,O,1000041
##ב,,O,1000041
כרתו,,O,1000041
כלב,,O,1000041
פסול,,O,1000041
והא,,O,1000041
לא,,O,1000041
נעשה,,O,1000041
בו,,O,1000041
איסור,,O,1000041
[SEP],10.0,O,1000041
,10.0,O,1000041
[CLS],10.0,O,1000042
"שו""ת",,O,1000042
אבני,,B-BOK,1000042
נזר,,I-BOK,1000042
חלק,,B-pSEC,1000042
אבן,,B-SEC,1000042
העזר,,I-SEC,1000042
סימן,,B-pCHP,1000042
רד,,B-CHP,1000042
בין,,O,1000042
השמשות,,O,1000042
יום,,O,1000042
וערב,,O,1000042
שבת,,O,1000042
קדש,,O,1000042
תצא,,O,1000042
ח',,O,1000042
אלול,,O,1000042
שש,,O,1000042
מאות,,O,1000042
שישים,,O,1000042
ושמונה,,O,1000042
לפרט,,O,1000042
קטן,,O,1000042
פה,,O,1000042
אטו,,O,1000042
##וא,,O,1000042
##צק,,O,1000042
[SEP],10.0,O,1000042
,10.0,O,1000042
[CLS],10.0,O,1000043
"שו""ת",,O,1000043
