token,label,label_tag,id
##תא,,O,1000015
פלי,,O,1000015
##גי,,O,1000015
[SEP],10.0,O,1000015
,10.0,O,1000015
[CLS],10.0,O,1000016
"והרשב""א",,B-AUT,1000016
ריש,,O,1000016
פרק,,B-pSEC,1000016
הערל,,B-SEC,1000016
דקדק,,O,1000016
בזה,,O,1000016
וכתב,,O,1000016
דבריי,,O,1000016
##תא,,O,1000016
פלי,,O,1000016
##גי,,O,1000016
[SEP],10.0,O,1000016
,10.0,O,1000016
[CLS],10.0,O,1000017
"והרשב""א",,B-AUT,1000017
ריש,,O,1000017
פרק,,B-pSEC,1000017
הערל,,B-SEC,1000017
דקדק,,O,1000017
בזה,,O,1000017
וכתב,,O,1000017
דבריי,,O,1000017
##תא,,O,1000017
פלי,,O,1000017
##גי,,O,1000017
[SEP],10.0,O,1000017
,10.0,O,1000017
[CLS],10.0,O,1000018
"והרשב""א",,B-AUT,1000018
ריש,,O,1000018
פרק,,B-pSEC,1000018
הערל,,B-SEC,1000018
דקדק,,O,1000018
בזה,,O,1000018
וכתב,,O,1000018
דבריי,,O,1000018
##תא,,O,1000018
פלי,,O,1000018
##גי,,O,1000018
[SEP],10.0,O,1000018
,10.0,O,1000018
[CLS],10.0,O,1000019
"והרשב""א",,B-AUT,1000019
ריש,,O,1000019
פרק,,B-pSEC,1000019
הערל,,B-SEC,1000019
דקדק,,O,1000019
בזה,,O,1000019
וכתב,,O,1000019
דבריי,,O,1000019
##תא,,O,1000019
פלי,,O,1000019
##גי,,O,1000019
[SEP],10.0,O,1000019
,10.0,O,1000019
[CLS],10.0,O,1000020
"והרשב""א",,B-AUT,1000020
ריש,,O,1000020
פרק,,B-pSEC,1000020
הערל,,B-SEC,1000020
דקדק,,O,1000020
בזה,,O,1000020
וכתב,,O,1000020
דבריי,,O,1000020
##תא,,O,1000020
פלי,,O,1000020
##גי,,O,1000020
[SEP],10.0,O,1000020
,10.0,O,1000020
[CLS],10.0,O,1000021
"והרשב""א",,B-AUT,1000021
ריש,,O,1000021
פרק,,B-pSEC,1000021
הערל,,B-SEC,1000021
דקדק,,O,1000021
בזה,,O,1000021
וכתב,,O,1000021
דבריי,,O,1000021
##תא,,O,1000021
פלי,,O,1000021
##גי,,O,1000021
[SEP],10.0,O,1000021
,10.0,O,1000021
[CLS],10.0,O,1000022
"והרשב""א",,B-AUT,1000022
ריש,,O,1000022
פרק,,B-pSEC,1000022
הערל,,B-SEC,1000022
דקדק,,O,1000022
בזה,,O,1000022
וכתב,,O,1000022
דבריי,,O,1000022
##תא,,O,1000022
פלי,,O,1000022
##גי,,O,1000022
[SEP],10.0,O,1000022
,10.0,O,1000022
[CLS],10.0,O,1000023
"והרשב""א",,B-AUT,1000023
ריש,,O,1000023
פרק,,B-pSEC,1000023
הערל,,B-SEC,1000023
דקדק,,O,1000023
בזה,,O,1000023
וכתב,,O,1000023
דבריי,,O,1000023
##תא,,O,1000023
פלי,,O,1000023
##גי,,O,1000023
[SEP],10.0,O,1000023
,10.0,O,1000023
[CLS],10.0,O,1000024
"והרשב""א",,B-AUT,1000024
ריש,,O,1000024
פרק,,B-pSEC,1000024
הערל,,B-SEC,1000024
דקדק,,O,1000024
בזה,,O,1000024
וכתב,,O,1000024
דבריי,,O,1000024
##תא,,O,1000024
פלי,,O,1000024
##גי,,O,1000024
[SEP],10.0,O,1000024
,10.0,O,1000024
[CLS],10.0,O,1000025
"והרשב""א",,B-AUT,1000025
ריש,,O,1000025
פרק,,B-pSEC,1000025
הערל,,B-SEC,1000025
דקדק,,O,1000025
בזה,,O,1000025
וכתב,,O,1000025
דבריי,,O,1000025
##תא,,O,1000025
פלי,,O,1000025
##גי,,O,1000025
[SEP],10.0,O,1000025
,10.0,O,1000025
[CLS],10.0,O,1000026
"והרשב""א",,B-AUT,1000026
ריש,,O,1000026
פרק,,B-pSEC,1000026
הערל,,B-SEC,1000026
דקדק,,O,1000026
בזה,,O,1000026
וכתב,,O,1000026
דבריי,,O,1000026
##תא,,O,1000026
פלי,,O,1000026
##גי,,O,1000026
[SEP],10.0,O,1000026
,10.0,O,1000026
[CLS],10.0,O,1000027
"והרשב""א",,B-AUT,1000027
ריש,,O,1000027
פרק,,B-pSEC,1000027
הערל,,B-SEC,1000027
דקדק,,O,1000027
בזה,,O,1000027
וכתב,,O,1000027
דבריי,,O,1000027
##תא,,O,1000027
פלי,,O,1000027
##גי,,O,1000027
[SEP],10.0,O,1000027
,10.0,O,1000027
[CLS],10.0,O,1000028
"והרשב""א",,B-AUT,1000028
ריש,,O,1000028
פרק,,B-pSEC,1000028
הערל,,B-SEC,1000028
דקדק,,O,1000028
בזה,,O,1000028
וכתב,,O,1000028
דבריי,,O,1000028
##תא,,O,1000028
פלי,,O,1000028
##גי,,O,1000028
[SEP],10.0,O,1000028
,10.0,O,1000028
[CLS],10.0,O,1000029
"והרשב""א",,B-AUT,1000029
ריש,,O,1000029
פרק,,B-pSEC,1000029
הערל,,B-SEC,1000029
דקדק,,O,1000029
בזה,,O,1000029
וכתב,,O,1000029
דבריי,,O,1000029
##תא,,O,1000029
פלי,,O,1000029
##גי,,O,1000029
[SEP],10.0,O,1000029
,10.0,O,1000029
[CLS],10.0,O,1000030
"והרשב""א",,B-AUT,1000030
ריש,,O,1000030
פרק,,B-pSEC,1000030
הערל,,B-SEC,1000030
דקדק,,O,1000030
בזה,,O,1000030
וכתב,,O,1000030
דבריי,,O,1000030
##תא,,O,1000030
פלי,,O,1000030
##גי,,O,1000030
[SEP],10.0,O,1000030
,10.0,O,1000030
[CLS],10.0,O,1000031
"והרשב""א",,B-AUT,1000031
ריש,,O,1000031
פרק,,B-pSEC,1000031
הערל,,B-SEC,1000031
דקדק,,O,1000031
בזה,,O,1000031
וכתב,,O,1000031
דבריי,,O,1000031
##תא,,O,1000031
פלי,,O,1000031
##גי,,O,1000031
[SEP],10.0,O,1000031
,10.0,O,1000031
[CLS],10.0,O,1000032
"והרשב""א",,B-AUT,1000032
ריש,,O,1000032
פרק,,B-pSEC,1000032
הערל,,B-SEC,1000032
דקדק,,O,1000032
בזה,,O,1000032
וכתב,,O,1000032
דבריי,,O,1000032
##תא,,O,1000032
פלי,,O,1000032
##גי,,O,1000032
[SEP],10.0,O,1000032
,10.0,O,1000032
[CLS],10.0,O,1000033
"והרשב""א",,B-AUT,1000033
ריש,,O,1000033
פרק,,B-pSEC,1000033
הערל,,B-SEC,1000033
דקדק,,O,1000033
בזה,,O,1000033
וכתב,,O,1000033
דבריי,,O,1000033
##תא,,O,1000033
פלי,,O,1000033
##גי,,O,1000033
[SEP],10.0,O,1000033
,10.0,O,1000033
[CLS],10.0,O,1000034
"והרשב""א",,B-AUT,1000034
ריש,,O,1000034
פרק,,B-pSEC,1000034
הערל,,B-SEC,1000034
דקדק,,O,1000034
בזה,,O,1000034
וכתב,,O,1000034
דבריי,,O,1000034
##תא,,O,1000034
פלי,,O,1000034
##גי,,O,1000034
[SEP],10.0,O,1000034
,10.0,O,1000034
[CLS],10.0,O,1000035
"והרשב""א",,B-AUT,1000035
ריש,,O,1000035
פרק,,B-pSEC,1000035
הערל,,B-SEC,1000035
דקדק,,O,1000035
בזה,,O,1000035
וכתב,,O,1000035
דבריי,,O,1000035
##תא,,O,1000035
פלי,,O,1000035
##גי,,O,1000035
[SEP],10.0,O,1000035
,10.0,O,1000035
[CLS],10.0,O,1000036
"והרשב""א",,B-AUT,1000036
ריש,,O,1000036
פרק,,B-pSEC,1000036
הערל,,B-SEC,1000036
דקדק,,O,1000036
בזה,,O,1000036
וכתב,,O,1000036
דבריי,,O,1000036
##תא,,O,1000036
פלי,,O,1000036
##גי,,O,1000036
[SEP],10.0,O,1000036
,10.0,O,1000036
[CLS],10.0,O,1000037
"והרשב""א",,B-AUT,1000037
ריש,,O,1000037
פרק,,B-pSEC,1000037
הערל,,B-SEC,1000037
דקדק,,O,1000037
בזה,,O,1000037
וכתב,,O,1000037
דבריי,,O,1000037
##תא,,O,1000037
פלי,,O,1000037
##גי,,O,1000037
[SEP],10.0,O,1000037
,10.0,O,1000037
[CLS],10.0,O,1000038
"והרשב""א",,B-AUT,1000038
ריש,,O,1000038
פרק,,B-pSEC,1000038
הערל,,B-SEC,1000038
דקדק,,O,1000038
בזה,,O,1000038
וכתב,,O,1000038
דבריי,,O,1000038
##תא,,O,1000038
פלי,,O,1000038
##גי,,O,1000038
[SEP],10.0,O,1000038
,10.0,O,1000038
[CLS],10.0,O,1000039
"והרשב""א",,B-AUT,1000039
ריש,,O,1000039
פרק,,B-pSEC,1000039
הערל,,B-SEC,1000039
דקדק,,O,1000039
בזה,,O,1000039
וכתב,,O,1000039
דבריי,,O,1000039
##תא,,O,1000039
פלי,,O,1000039
##גי,,O,1000039
[SEP],10.0,O,1000039
,10.0,O,1000039
[CLS],10.0,O,1000040
"והרשב""א",,B-AUT,1000040
ריש,,O,1000040
פרק,,B-pSEC,1000040
הערל,,B-SEC,1000040
דקדק,,O,1000040
בזה,,O,1000040
וכתב,,O,1000040
דבריי,,O,1000040
##תא,,O,1000040
פלי,,O,1000040
##גי,,O,1000040
[SEP],10.0,O,1000040
,10.0,O,1000040
[CLS],10.0,O,1000041
"והרשב""א",,B-AUT,1000041
ריש,,O,1000041
פרק,,B-pSEC,1000041
הערל,,B-SEC,1000041
דקדק,,O,1000041
בזה,,O,1000041
וכתב,,O,1000041
דבריי,,O,1000041
##תא,,O,1000041
פלי,,O,1000041
##גי,,O,1000041
[SEP],10.0,O,1000041
,10.0,O,1000041
[CLS],10.0,O,1000042
"והרשב""א",,B-AUT,1000042
ריש,,O,1000042
פרק,,B-pSEC,1000042
הערל,,B-SEC,1000042
דקדק,,O,1000042
בזה,,O,1000042
וכתב,,O,1000042
דבריי,,O,1000042
##תא,,O,1000042
פלי,,O,1000042
##גי,,O,1000042
[SEP],10.0,O,1000042
,10.0,O,1000042
[CLS],10.0,O,1000043
"והרשב""א",,B-AUT,1000043
ריש,,O,1000043
פרק,,B-pSEC,1000043
הערל,,B-SEC,1000043
דקדק,,O,1000043
בזה,,O,1000043
וכתב,,O,1000043
דבריי,,O,1000043
##תא,,O,1000043
פלי,,O,1000043
##גי,,O,1000043
[SEP],10.0,O,1000043
,10.0,O,1000043
[CLS],10.0,O,1000044
"והרשב""א",,B-AUT,1000044
ריש,,O,1000044
פרק,,B-pSEC,1000044
הערל,,B-SEC,1000044
דקדק,,O,1000044
בזה,,O,1000044
וכתב,,O,1000044
דבריי,,O,1000044
##תא,,O,1000044
פלי,,O,1000044
##גי,,O,1000044
[SEP],10.0,O,1000044
,10.0,O,1000044
[CLS],10.0,O,1000045
"והרשב""א",,B-AUT,1000045
ריש,,O,1000045
פרק,,B-pSEC,1000045
הערל,,B-SEC,1000045
דקדק,,O,1000045
בזה,,O,1000045
וכתב,,O,1000045
דבריי,,O,1000045
##תא,,O,1000045
פלי,,O,1000045
##גי,,O,1000045
[SEP],10.0,O,1000045
,10.0,O,1000045
[CLS],10.0,O,1000046
"והרשב""א",,B-AUT,1000046
ריש,,O,1000046
פרק,,B-pSEC,1000046
הערל,,B-SEC,1000046
דקדק,,O,1000046
בזה,,O,1000046
וכתב,,O,1000046
דבריי,,O,1000046
##תא,,O,1000046
פלי,,O,1000046
##גי,,O,1000046
[SEP],10.0,O,1000046
,10.0,O,1000046
[CLS],10.0,O,1000047
"והרשב""א",,B-AUT,1000047
ריש,,O,1000047
פרק,,B-pSEC,1000047
הערל,,B-SEC,1000047
דקדק,,O,1000047
בזה,,O,1000047
וכתב,,O,1000047
דבריי,,O,1000047
##תא,,O,1000047
פלי,,O,1000047
##גי,,O,1000047
[SEP],10.0,O,1000047
,10.0,O,1000047
[CLS],10.0,O,1000048
"והרשב""א",,B-AUT,1000048
ריש,,O,1000048
פרק,,B-pSEC,1000048
הערל,,B-SEC,1000048
דקדק,,O,1000048
בזה,,O,1000048
וכתב,,O,1000048
דבריי,,O,1000048
##תא,,O,1000048
פלי,,O,1000048
##גי,,O,1000048
[SEP],10.0,O,1000048
,10.0,O,1000048
[CLS],10.0,O,1000049
"והרשב""א",,B-AUT,1000049
ריש,,O,1000049
פרק,,B-pSEC,1000049
הערל,,B-SEC,1000049
דקדק,,O,1000049
בזה,,O,1000049
וכתב,,O,1000049
דבריי,,O,1000049
##תא,,O,1000049
פלי,,O,1000049
##גי,,O,1000049
[SEP],10.0,O,1000049
,10.0,O,1000049
[CLS],10.0,O,1000050
"והרשב""א",,B-AUT,1000050
ריש,,O,1000050
פרק,,B-pSEC,1000050
הערל,,B-SEC,1000050
דקדק,,O,1000050
בזה,,O,1000050
וכתב,,O,1000050
דבריי,,O,1000050
##תא,,O,1000050
פלי,,O,1000050
##גי,,O,1000050
[SEP],10.0,O,1000050
,10.0,O,1000050
[CLS],10.0,O,1000051
"והרשב""א",,B-AUT,1000051
ריש,,O,1000051
פרק,,B-pSEC,1000051
הערל,,B-SEC,1000051
דקדק,,O,1000051
בזה,,O,1000051
וכתב,,O,1000051
דבריי,,O,1000051
##תא,,O,1000051
פלי,,O,1000051
##גי,,O,1000051
[SEP],10.0,O,1000051
,10.0,O,1000051
[CLS],10.0,O,1000052
"והרשב""א",,B-AUT,1000052
ריש,,O,1000052
פרק,,B-pSEC,1000052
הערל,,B-SEC,1000052
דקדק,,O,1000052
בזה,,O,1000052
וכתב,,O,1000052
דבריי,,O,1000052
##תא,,O,1000052
פלי,,O,1000052
##גי,,O,1000052
[SEP],10.0,O,1000052
,10.0,O,1000052
[CLS],10.0,O,1000053
"והרשב""א",,B-AUT,1000053
ריש,,O,1000053
פרק,,B-pSEC,1000053
הערל,,B-SEC,1000053
דקדק,,O,1000053
בזה,,O,1000053
וכתב,,O,1000053
דבריי,,O,1000053
##תא,,O,1000053
פלי,,O,1000053
##גי,,O,1000053
[SEP],10.0,O,1000053
,10.0,O,1000053
[CLS],10.0,O,1000054
"והרשב""א",,B-AUT,1000054
ריש,,O,1000054
פרק,,B-pSEC,1000054
הערל,,B-SEC,1000054
דקדק,,O,1000054
בזה,,O,1000054
וכתב,,O,1000054
דבריי,,O,1000054
##תא,,O,1000054
פלי,,O,1000054
##גי,,O,1000054
[SEP],10.0,O,1000054
,10.0,O,1000054
[CLS],10.0,O,1000055
"והרשב""א",,B-AUT,1000055
ריש,,O,1000055
פרק,,B-pSEC,1000055
הערל,,B-SEC,1000055
דקדק,,O,1000055
בזה,,O,1000055
וכתב,,O,1000055
דבריי,,O,1000055
##תא,,O,1000055
פלי,,O,1000055
##גי,,O,1000055
[SEP],10.0,O,1000055
,10.0,O,1000055
[CLS],10.0,O,1000056
"והרשב""א",,B-AUT,1000056
ריש,,O,1000056
פרק,,B-pSEC,1000056
הערל,,B-SEC,1000056
דקדק,,O,1000056
בזה,,O,1000056
וכתב,,O,1000056
דבריי,,O,1000056
##תא,,O,1000056
פלי,,O,1000056
##גי,,O,1000056
[SEP],10.0,O,1000056
,10.0,O,1000056
[CLS],10.0,O,1000057
"והרשב""א",,B-AUT,1000057
ריש,,O,1000057
פרק,,B-pSEC,1000057
הערל,,B-SEC,1000057
דקדק,,O,1000057
בזה,,O,1000057
וכתב,,O,1000057
דבריי,,O,1000057
##תא,,O,1000057
פלי,,O,1000057
##גי,,O,1000057
[SEP],10.0,O,1000057
,10.0,O,1000057
[CLS],10.0,O,1000058
"והרשב""א",,B-AUT,1000058
ריש,,O,1000058
פרק,,B-pSEC,1000058
הערל,,B-SEC,1000058
דקדק,,O,1000058
בזה,,O,1000058
וכתב,,O,1000058
דבריי,,O,1000058
##תא,,O,1000058
פלי,,O,1000058
##גי,,O,1000058
[SEP],10.0,O,1000058
,10.0,O,1000058
[CLS],10.0,O,1000059
"והרשב""א",,B-AUT,1000059
ריש,,O,1000059
פרק,,B-pSEC,1000059
הערל,,B-SEC,1000059
דקדק,,O,1000059
בזה,,O,1000059
וכתב,,O,1000059
דבריי,,O,1000059
##תא,,O,1000059
פלי,,O,1000059
##גי,,O,1000059
[SEP],10.0,O,1000059
,10.0,O,1000059
[CLS],10.0,O,1000060
"והרשב""א",,B-AUT,1000060
ריש,,O,1000060
פרק,,B-pSEC,1000060
הערל,,B-SEC,1000060
דקדק,,O,1000060
בזה,,O,1000060
וכתב,,O,1000060
דבריי,,O,1000060
##תא,,O,1000060
פלי,,O,1000060
##גי,,O,1000060
[SEP],10.0,O,1000060
,10.0,O,1000060
[CLS],10.0,O,1000061
"והרשב""א",,B-AUT,1000061
ריש,,O,1000061
פרק,,B-pSEC,1000061
הערל,,B-SEC,1000061
דקדק,,O,1000061
בזה,,O,1000061
וכתב,,O,1000061
דבריי,,O,1000061
##תא,,O,1000061
פלי,,O,1000061
##גי,,O,1000061
[SEP],10.0,O,1000061
,10.0,O,1000061
[CLS],10.0,O,1000062
"והרשב""א",,B-AUT,1000062
ריש,,O,1000062
פרק,,B-pSEC,1000062
הערל,,B-SEC,1000062
דקדק,,O,1000062
בזה,,O,1000062
וכתב,,O,1000062
דבריי,,O,1000062
##תא,,O,1000062
פלי,,O,1000062
##גי,,O,1000062
[SEP],10.0,O,1000062
,10.0,O,1000062
[CLS],10.0,O,1000063
"והרשב""א",,B-AUT,1000063
ריש,,O,1000063
פרק,,B-pSEC,1000063
הערל,,B-SEC,1000063
דקדק,,O,1000063
בזה,,O,1000063
וכתב,,O,1000063
דבריי,,O,1000063
##תא,,O,1000063
פלי,,O,1000063
##גי,,O,1000063
[SEP],10.0,O,1000063
,10.0,O,1000063
[CLS],10.0,O,1000064
"והרשב""א",,B-AUT,1000064
ריש,,O,1000064
פרק,,B-pSEC,1000064
הערל,,B-SEC,1000064
דקדק,,O,1000064
בזה,,O,1000064
וכתב,,O,1000064
דבריי,,O,1000064
##תא,,O,1000064
פלי,,O,1000064
##גי,,O,1000064
[SEP],10.0,O,1000064
,10.0,O,1000064
[CLS],10.0,O,1000065
"והרשב""א",,B-AUT,1000065
ריש,,O,1000065
פרק,,B-pSEC,1000065
הערל,,B-SEC,1000065
דקדק,,O,1000065
בזה,,O,1000065
וכתב,,O,1000065
דבריי,,O,1000065
##תא,,O,1000065
פלי,,O,1000065
##גי,,O,1000065
[SEP],10.0,O,1000065
,10.0,O,1000065
[CLS],10.0,O,1000066
יש,,O,1000066
מקום,,O,1000066
עיון,,O,1000066
מהא,,O,1000066
ד,,O,1000066
##גיטין,,B-BOK,1000066
(,,B-pSEC,1000066
"י""ח",,B-CHP,1000066
עמוד,,B-pSCHP,1000066
א',,B-SCHP,1000066
),,O,1000066
דכ,,O,1000066
##ת,,O,1000066
##בו,,O,1000066
ואנ,,O,1000066
##חיה,,O,1000066
בכיס,,O,1000066
##תי,,O,1000066
##ה,,O,1000066
דאי,,O,1000066
מפי,,O,1000066
##יסה,,O,1000066
תפ,,O,1000066
##ייס,,O,1000066
[SEP],10.0,O,1000066
,10.0,O,1000066
[CLS],10.0,O,1000067
יש,,O,1000067
מקום,,O,1000067
עיון,,O,1000067
מהא,,O,1000067
ד,,O,1000067
##גיטין,,B-BOK,1000067
(,,B-pSEC,1000067
"י""ח",,B-CHP,1000067
עמוד,,B-pSCHP,1000067
א',,B-SCHP,1000067
),,O,1000067
דכ,,O,1000067
##ת,,O,1000067
##בו,,O,1000067
ואנ,,O,1000067
##חיה,,O,1000067
בכיס,,O,1000067
##תי,,O,1000067
##ה,,O,1000067
דאי,,O,1000067
מפי,,O,1000067
##יסה,,O,1000067
תפ,,O,1000067
##ייס,,O,1000067
[SEP],10.0,O,1000067
,10.0,O,1000067
[CLS],10.0,O,1000068
יש,,O,1000068
מקום,,O,1000068
עיון,,O,1000068
מהא,,O,1000068
ד,,O,1000068
##גיטין,,B-BOK,1000068
(,,B-pSEC,1000068
"י""ח",,B-CHP,1000068
עמוד,,B-pSCHP,1000068
א',,B-SCHP,1000068
),,O,1000068
דכ,,O,1000068
##ת,,O,1000068
##בו,,O,1000068
ואנ,,O,1000068
##חיה,,O,1000068
בכיס,,O,1000068
##תי,,O,1000068
##ה,,O,1000068
דאי,,O,1000068
מפי,,O,1000068
##יסה,,O,1000068
תפ,,O,1000068
##ייס,,O,1000068
[SEP],10.0,O,1000068
,10.0,O,1000068
[CLS],10.0,O,1000069
יש,,O,1000069
מקום,,O,1000069
עיון,,O,1000069
מהא,,O,1000069
ד,,O,1000069
##גיטין,,B-BOK,1000069
(,,B-pSEC,1000069
"י""ח",,B-CHP,1000069
עמוד,,B-pSCHP,1000069
א',,B-SCHP,1000069
),,O,1000069
דכ,,O,1000069
##ת,,O,1000069
##בו,,O,1000069
ואנ,,O,1000069
##חיה,,O,1000069
בכיס,,O,1000069
##תי,,O,1000069
##ה,,O,1000069
דאי,,O,1000069
מפי,,O,1000069
##יסה,,O,1000069
תפ,,O,1000069
##ייס,,O,1000069
[SEP],10.0,O,1000069
,10.0,O,1000069
[CLS],10.0,O,1000070
יש,,O,1000070
מקום,,O,1000070
עיון,,O,1000070
מהא,,O,1000070
ד,,O,1000070
##גיטין,,B-BOK,1000070
(,,B-pSEC,1000070
"י""ח",,B-CHP,1000070
עמוד,,B-pSCHP,1000070
א',,B-SCHP,1000070
),,O,1000070
דכ,,O,1000070
##ת,,O,1000070
##בו,,O,1000070
ואנ,,O,1000070
##חיה,,O,1000070
בכיס,,O,1000070
##תי,,O,1000070
##ה,,O,1000070
דאי,,O,1000070
מפי,,O,1000070
##יסה,,O,1000070
תפ,,O,1000070
##ייס,,O,1000070
[SEP],10.0,O,1000070
,10.0,O,1000070
[CLS],10.0,O,1000071
יש,,O,1000071
מקום,,O,1000071
עיון,,O,1000071
מהא,,O,1000071
ד,,O,1000071
##גיטין,,B-BOK,1000071
(,,B-pSEC,1000071
"י""ח",,B-CHP,1000071
עמוד,,B-pSCHP,1000071
א',,B-SCHP,1000071
),,O,1000071
דכ,,O,1000071
##ת,,O,1000071
##בו,,O,1000071
ואנ,,O,1000071
##חיה,,O,1000071
בכיס,,O,1000071
##תי,,O,1000071
##ה,,O,1000071
דאי,,O,1000071
מפי,,O,1000071
##יסה,,O,1000071
תפ,,O,1000071
##ייס,,O,1000071
